거리명,거리소개,소재지도로명,소재지지번주소,위도,경도,총길이,점포수,지정연도,관리기관전화번호,관리기관명,데이터기준일자,출처_파일명
음식특화거리,완도를 대표하는 음식점이 모여있는 거리로 주로 생선회 및 전복요리를 판매하고 있으며 완도를 찾은 관광객이 가장 많이 방문하는 음식특화거리임,전라남도 완도군 완도읍 해변공원로 124번길,,34.324519,126.748446,312,25,2003,061-550-5442,전라남도 완도군청,2024-08-14,전라남도_완도군_지역특화거리_20240814.csv
나무전거리,"목재,문짝,씽크대,합판 등을 취급하고 창호를 비롯한 문 가공하는 거리",광주광역시 동구 경양로 300-1,광주광역시 동구 동명동 253-1,35.15439961,126.9221094962,610,85,2007,062-608-2715,광주광역시 동구청,2025-06-23,광주광역시_동구_지역특화거리_20250623.csv
전자의거리,"가전제품,전자부품,음향기기,전기자재,CCTV,컴퓨터,영상 및 방송시설 등 전자상가 중심의 상점거리",광주광역시 동구 독립로264번길 25,광주광역시 동구 대인동 27,35.1534492576,126.9136593315,210,102,2007,062-608-2715,광주광역시 동구청,2025-06-23,광주광역시_동구_지역특화거리_20250623.csv
아시아음식문화거리,각국의 음식과 문화를 맛보고 체험할 수 있는 음식테마거리 조성,광주광역시 동구 문화전당로35번길 18-1,광주광역시 동구 광산동 92-19,35.1453711,126.917253,600,280,2007,062-608-2413,광주광역시 동구청,2025-06-23,광주광역시_동구_지역특화거리_20250623.csv
예술의거리,"갤러리와 화방,표구점,골동품점, 소극장, 전통찻집이 모여있는 거리",광주광역시 동구 예술길 24,광주광역시 동구 궁동 52-2,35.1497647842,126.9186349338,603,220,1987,062-608-2407,광주광역시청,2025-06-23,광주광역시_동구_지역특화거리_20250623.csv
공구의거리,다양성과 전문성을 갖춘 공구 특화 상점가,광주광역시 북구 하남대로,광주광역시 북구 운암동 1428,35.172019,126.8797519,1200,150,2003,062-410-6547,광주광역시 북구청,2025-11-28,광주광역시_북구_지역특화거리_20251128 (1).csv
자동차의거리,차량용부품+수리 및 튜닝에 대한 모든것을 찾을 수 있는 자동차 관련 상점가,광주광역시 북구 자동차로,광주광역시 북구 임동 11-4,35.16275359,126.9001118,1600,70,2003,062-410-6547,광주광역시 북구청,2025-11-28,광주광역시_북구_지역특화거리_20251128 (1).csv
건축자재의거리,건설+건축에 필요한 모든 자재를 구할 수 있는 자재 전문 거리,광주광역시 북구 독립로,광주광역시 북구 중흥동 662-2,35.159857,126.9138254,1500,66,2003,062-410-6547,광주광역시 북구청,2025-11-28,광주광역시_북구_지역특화거리_20251128 (1).csv
패션의거리,패션과 문화를 함께 누릴 수 있는 광주 최대 의류업체 밀집거리,광주광역시 북구 설죽로,광주광역시 북구 용봉동 1371-1,35.17994823,126.8977166,1200,68,2010,062-410-6547,광주광역시 북구청,2025-11-28,광주광역시_북구_지역특화거리_20251128 (1).csv
오리요리의거리,광주 명물음식 오리탕 전문업소가 밀집된 대표거리,광주광역시 북구 경양로,광주광역시 북구 유동 102-2,35.16126499,126.9056156,300,12,2003,062-410-6547,광주광역시 북구청,2025-11-28,광주광역시_북구_지역특화거리_20251128 (1).csv
