menu_key,menu_name,menu_norm,ingredient,spicy,has_soup,is_raw,main_ingredients,course,confidence,source,months,regions,restaurant_count,exclude_category,exclude_reason
꿀딸기아이스크림|딸기,꿀딸기아이스크림,꿀딸기아이스크림,딸기,0,N,N,채소,디저트,0.7,rule,2,광주 광산구,1,디저트,디저트 코스(빙과·젤라또) — 식사용 향토음식이 아님
리코타치즈샐러드|리코타치즈,리코타치즈샐러드,리코타치즈샐러드,리코타치즈,0,N,N,채소,디저트,0.7,rule,6,전남 나주시,1,디저트,디저트 코스(서양식 샐러드) — 식사용 향토음식이 아님
만대재 쑥크림|쑥,만대재 쑥크림,만대재 쑥크림,쑥,0,N,N,채소,디저트,0.85,manual,4,전남 순천시,1,디저트,디저트 코스(후식 크림류) — 식사용 향토음식이 아님
메밀 전병|메밀,메밀 전병,메밀 전병,메밀,0,N,N,채소,디저트,0.85,rule,8;11,전남 장성군,1,디저트,디저트 코스(전통 과자·떡 후식) — 식사용 향토음식이 아님
무화과 깜빠뉴|무화과,무화과 깜빠뉴,무화과 깜빠뉴,무화과,0,N,N,채소,디저트,0.7,rule,9,전남 영암군,1,디저트,디저트 코스(제과·제빵류) — 식사용 향토음식이 아님
무화과 단팥빵|무화과,무화과 단팥빵,무화과 단팥빵,무화과,0,N,N,채소,디저트,0.7,rule,9,전남 영암군,1,디저트,디저트 코스(제과·제빵류) — 식사용 향토음식이 아님
무화과 단팥빵|팥,무화과 단팥빵,무화과 단팥빵,팥,0,N,N,채소,디저트,0.7,rule,12,전남 영암군,1,디저트,디저트 코스(제과·제빵류) — 식사용 향토음식이 아님
무화과 파운드|무화과,무화과 파운드 등,무화과 파운드,무화과,0,N,N,채소,디저트,0.7,rule,9,전남 영암군,1,디저트,디저트 코스(양과자 파운드케이크) — 식사용 향토음식이 아님
무화과크림치즈빵|무화과,무화과크림치즈빵,무화과크림치즈빵,무화과,0,N,N,채소,디저트,0.7,rule,9,전남 신안군,1,디저트,디저트 코스(제과·제빵류) — 식사용 향토음식이 아님
바질치즈쌀베이글|쌀,바질치즈쌀베이글,바질치즈쌀베이글,쌀,0,N,N,채소,디저트,0.7,rule,10;11,전남 화순군,1,디저트,디저트 코스(제과·제빵류) — 식사용 향토음식이 아님
밤 젤라또|밤,밤 젤라또 등,밤 젤라또,밤,0,N,N,채소,디저트,0.7,rule,12,전남 여수시,1,디저트,디저트 코스(빙과·젤라또) — 식사용 향토음식이 아님
벚꽃 딸기 쌍둥이판다빙수|딸기,벚꽃 딸기 쌍둥이판다빙수,벚꽃 딸기 쌍둥이판다빙수,딸기,0,N,N,채소,디저트,0.7,rule,2,전남 담양군,1,디저트,디저트 코스(후식 빙수류) — 식사용 향토음식이 아님
보리개떡|보리,보리개떡 등,보리개떡,보리,0,N,N,채소,디저트,0.7,rule,3;6,광주 동구,1,디저트,디저트 코스(전통 과자·떡 후식) — 식사용 향토음식이 아님
복숭아요거트크레페|복숭아,복숭아요거트크레페,복숭아요거트크레페,복숭아,0,N,N,채소,디저트,0.85,manual,7;8,전남 담양군,1,디저트,디저트 코스(양과자 크레페·와플류) — 식사용 향토음식이 아님
복숭아케이크|복숭아,복숭아케이크,복숭아케이크,복숭아,0,N,N,채소,디저트,0.7,rule,7;8,전남 강진군,1,디저트,디저트 코스(양과자 케이크) — 식사용 향토음식이 아님
복숭아케이크|복숭아케이크,복숭아케이크,복숭아케이크,복숭아케이크,0,N,N,채소,디저트,0.7,rule,8,전남 강진군,1,디저트,디저트 코스(양과자 케이크) — 식사용 향토음식이 아님
산딸기바게트|산딸기,산딸기바게트,산딸기바게트,산딸기,0,N,N,채소,디저트,0.85,manual,6,전남 해남군,1,디저트,디저트 코스(제과·제빵류) — 식사용 향토음식이 아님
상성사과빵|사과,상성사과빵,상성사과빵,사과,0,N,N,채소,디저트,0.7,rule,10,전남 장성군,1,디저트,디저트 코스(제과·제빵류) — 식사용 향토음식이 아님
생과일딸기크로플|딸기,생과일딸기크로플 등,생과일딸기크로플,딸기,0,N,N,채소,디저트,0.7,rule,2,전남 신안군,1,디저트,디저트 코스(양과자 크레페·와플류) — 식사용 향토음식이 아님
생과일무화과크로플|무화과,생과일무화과크로플,생과일무화과크로플,무화과,0,N,N,채소,디저트,0.7,rule,9,전남 신안군,1,디저트,디저트 코스(양과자 크레페·와플류) — 식사용 향토음식이 아님
생딸기망고와플|딸기,생딸기망고와플,생딸기망고와플,딸기,0,N,N,채소,디저트,0.7,rule,2,전남 광양시,1,디저트,디저트 코스(양과자 크레페·와플류) — 식사용 향토음식이 아님
시금치피자|시금치,시금치피자 등,시금치피자,시금치,0,N,N,채소,디저트,0.7,rule,5;12,전남 여수시,1,디저트,디저트 코스(서양식 피자) — 식사용 향토음식이 아님
쌀 식빵|쌀,쌀 식빵 등,쌀 식빵,쌀,0,N,N,채소,디저트,0.7,rule,10;11,광주 광산구,1,디저트,디저트 코스(제과·제빵류) — 식사용 향토음식이 아님
쌀무화과빵|무화과,쌀무화과빵,쌀무화과빵,무화과,0,N,N,채소,디저트,0.7,rule,9,전남 영암군,1,디저트,디저트 코스(제과·제빵류) — 식사용 향토음식이 아님
쌀무화과빵|쌀,쌀무화과빵,쌀무화과빵,쌀,0,N,N,채소,디저트,0.7,rule,10;11,전남 영암군,1,디저트,디저트 코스(제과·제빵류) — 식사용 향토음식이 아님
앉은뱅이통밀목월팥빵|팥,앉은뱅이통밀목월팥빵,앉은뱅이통밀목월팥빵,팥,0,N,N,채소,디저트,0.7,rule,12,전남 구례군,1,디저트,디저트 코스(제과·제빵류) — 식사용 향토음식이 아님
양파수제돈까스|양파,양파수제돈까스,양파수제돈까스,양파,0,N,N,육류,디저트,0.7,rule,6,광주 북구,1,디저트,디저트 코스(일식·양식 돈가스) — 식사용 향토음식이 아님
여름가지 볼로네제 파스타|가지,여름가지 볼로네제 파스타,여름가지 볼로네제 파스타,가지,0,N,N,채소,디저트,0.7,rule,6,광주 서구,1,디저트,디저트 코스(서양식 파스타) — 식사용 향토음식이 아님
옛날 팥빙수|팥,옛날 팥빙수,옛날 팥빙수,팥,0,N,N,채소,디저트,0.7,rule,12,전남 목포시,1,디저트,디저트 코스(후식 빙수류) — 식사용 향토음식이 아님
옥수수도나스|수수,옥수수도나스,옥수수도나스,수수,0,N,N,채소,디저트,0.7,rule,5;9,전남 여수시,1,디저트,디저트 코스(양과자 도넛) — 식사용 향토음식이 아님
옥수수도나스|옥수수,옥수수도나스,옥수수도나스,옥수수,0,N,N,채소,디저트,0.7,rule,7,전남 여수시,1,디저트,디저트 코스(양과자 도넛) — 식사용 향토음식이 아님
옥수수푸딩|수수,옥수수푸딩,옥수수푸딩,수수,0,N,N,채소,디저트,0.7,rule,5;9,전남 여수시,1,디저트,디저트 코스(양과자 푸딩) — 식사용 향토음식이 아님
옥수수푸딩|옥수수,옥수수푸딩,옥수수푸딩,옥수수,0,N,N,채소,디저트,0.7,rule,7,전남 여수시,1,디저트,디저트 코스(양과자 푸딩) — 식사용 향토음식이 아님
우리밀약과|우리밀,우리밀약과,우리밀약과,우리밀,0,N,N,채소,디저트,0.7,rule,7,전남 담양군,1,디저트,디저트 코스(전통 과자·떡 후식) — 식사용 향토음식이 아님
인절미팥빙수|팥,인절미팥빙수,인절미팥빙수,팥,0,N,N,채소,디저트,0.7,rule,12,전남 여수시;전남 장성군,2,디저트,디저트 코스(후식 빙수류) — 식사용 향토음식이 아님
전복 리소토|전복,전복 리소토,전복 리소토,전복,0,N,N,해산물,디저트,0.85,rule,6;7;8,전남 담양군,1,디저트,디저트 코스(서양식 리소토) — 식사용 향토음식이 아님
전복빵|전복,전복빵,전복빵,전복,0,N,N,해산물,디저트,0.85,rule,6;7;8,전남 완도군,1,디저트,디저트 코스(제과·제빵류) — 식사용 향토음식이 아님
천연효모 쌀베이글|쌀,천연효모 쌀베이글 등,천연효모 쌀베이글,쌀,0,N,N,채소,디저트,0.7,rule,10;11,전남 보성군,1,디저트,디저트 코스(제과·제빵류) — 식사용 향토음식이 아님
천연효모 우리밀오트밀빵|우리밀,천연효모 우리밀오트밀빵,천연효모 우리밀오트밀빵,우리밀,0,N,N,채소,디저트,0.7,rule,7,전남 보성군,1,디저트,디저트 코스(제과·제빵류) — 식사용 향토음식이 아님
컵팥빙수|팥,컵팥빙수 등,컵팥빙수,팥,0,N,N,채소,디저트,0.7,rule,12,전남 여수시,1,디저트,디저트 코스(후식 빙수류) — 식사용 향토음식이 아님
큐브치즈딸기|딸기,큐브치즈딸기,큐브치즈딸기,딸기,0,N,N,채소,디저트,0.85,manual,2,광주 광산구,1,디저트,디저트 코스(치즈 가공 후식) — 식사용 향토음식이 아님
키조개관자 파스타|키조개,키조개관자 파스타,키조개관자 파스타,키조개,0,N,N,해산물,디저트,0.7,rule,4;5,광주 서구,1,디저트,디저트 코스(서양식 파스타) — 식사용 향토음식이 아님
토마토 롤라자냐|토마토,토마토 롤라자냐,토마토 롤라자냐,토마토,0,N,N,채소,디저트,0.7,rule,5,광주 남구,1,디저트,디저트 코스(서양식 라자냐) — 식사용 향토음식이 아님
통오징어 먹물 파스타|오징어,통오징어 먹물 파스타,통오징어 먹물 파스타,오징어,0,N,N,해산물,디저트,0.7,rule,7;8,광주 광산구,1,디저트,디저트 코스(서양식 파스타) — 식사용 향토음식이 아님
통오징어먹물리소토|오징어,통오징어먹물리소토,통오징어먹물리소토,오징어,0,N,N,해산물,디저트,0.7,rule,7;8,전남 담양군,1,디저트,디저트 코스(서양식 리소토) — 식사용 향토음식이 아님
통옥수수 샐러드|수수,통옥수수 샐러드 등,통옥수수 샐러드,수수,0,N,N,채소,디저트,0.7,rule,5;9,전남 해남군,1,디저트,디저트 코스(서양식 샐러드) — 식사용 향토음식이 아님
통옥수수 샐러드|옥수수,통옥수수 샐러드 등,통옥수수 샐러드,옥수수,0,N,N,채소,디저트,0.7,rule,7,전남 해남군,1,디저트,디저트 코스(서양식 샐러드) — 식사용 향토음식이 아님
홈메이드 단호박스프|단호박,홈메이드 단호박스프 등,홈메이드 단호박스프,단호박,0,N,N,채소,디저트,0.7,rule,11,전남 나주시,1,디저트,디저트 코스(서양식 수프) — 식사용 향토음식이 아님
매운소고기쌀국수|소고기,매운소고기쌀국수 등,매운소고기쌀국수,소고기,3,Y,N,육류,식사,0.85,rule,9,전남 담양군,1,비고유-동남아,베트남 쌀국수(퍼) 계열로 한국 고유 음식이 아님
소고기쌀국수|소고기,소고기쌀국수,소고기쌀국수,소고기,0,Y,N,육류,식사,0.85,rule,9,전남 담양군,1,비고유-동남아,베트남 쌀국수(퍼) 계열로 한국 고유 음식이 아님
바질토마토|토마토,바질토마토,바질토마토,토마토,0,N,N,채소,식사,0.85,manual,5,전남 나주시,1,비고유-서양,바질·토마토를 쓰는 이탈리아식 샐러드(카프레제 계열)로 한국 고유 음식이 아님
오리엔탈 닭가슴살 스테이크|닭가슴살,오리엔탈 닭가슴살 스테이크,오리엔탈 닭가슴살 스테이크,닭가슴살,0,N,N,육류,식사,0.85,manual,3;7;8,광주 서구,1,비고유-서양,서양식 스테이크 요리로 한국 고유 음식이 아님
전복초밥|전복,전복초밥,전복초밥,전복,0,N,Y,해산물,식사,0.85,rule,6;7;8,광주 동구,1,비고유-일식,일본 스시(초밥) 형식의 요리로 한국 고유 음식이 아님
거문도 해풍쑥 라떼|쑥,거문도 해풍쑥 라떼,거문도 해풍쑥 라떼,쑥,0,N,N,채소,음료,0.7,rule,4,전남 여수시,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
곡성멜론라떼 / 영일도라 라떼|멜론,곡성멜론라떼 / 영일도라 라떼,곡성멜론라떼 / 영일도라 라떼,멜론,0,N,N,채소,음료,0.7,rule,8,전남 곡성군,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
곡성멜론스무디|멜론,곡성멜론스무디,곡성멜론스무디,멜론,0,N,N,채소,음료,0.7,rule,8,전남 곡성군,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
낭만 유자 커피|유자,낭만 유자 커피,낭만 유자 커피,유자,0,N,N,채소,음료,0.7,rule,11,전남 여수시,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
"넛츠크림라떼, 잇다커피, 잇다에이드, 생강라떼|생강","넛츠크림라떼, 잇다커피, 잇다에이드, 생강라떼","넛츠크림라떼, 잇다커피, 잇다에이드, 생강라떼",생강,0,N,N,채소,음료,0.7,rule,12,전남 장성군,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
담양 딸기 라떼|딸기,담양 딸기 라떼,담양 딸기 라떼,딸기,0,N,N,채소,음료,0.7,rule,2,전남 담양군,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
대나무우유|우유,대나무우유,대나무우유,우유,0,N,N,,음료,0.7,rule,7,전남 담양군,1,비고유-카페음료,"우유 기반 가공 음료·양과자(도넛/푸딩/케익)로, 한국 고유 음식이 아님"
대추라떼|대추,대추라떼,대추라떼,대추,0,N,N,채소,음료,0.7,rule,11,전남 곡성군,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
보틀 단편 우유|우유,보틀 단편 우유,보틀 단편 우유,우유,0,N,N,,음료,0.7,rule,7,전남 곡성군,1,비고유-카페음료,"우유 기반 가공 음료·양과자(도넛/푸딩/케익)로, 한국 고유 음식이 아님"
복숭아 아이스티|복숭아,복숭아 아이스티,복숭아 아이스티,복숭아,0,N,N,채소,음료,0.7,rule,7;8,전남 순천시;전남 완도군,2,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
블루베리요거트스무디|블루베리,블루베리요거트스무디,블루베리요거트스무디,블루베리,0,N,N,채소,음료,0.7,rule,8,전남 담양군,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
사과한그루|사과,사과한그루 등,사과한그루,사과,0,N,N,채소,음료,0.85,manual,10,전남 곡성군,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
생 딸기라떼|딸기,생 딸기라떼,생 딸기라떼,딸기,0,N,N,채소,음료,0.7,rule,2,전남 여수시,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
생딸기라떼|딸기,생딸기라떼,생딸기라떼,딸기,0,N,N,채소,음료,0.7,rule,2,전남 강진군,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
수제우유|우유,수제우유,수제우유,우유,0,N,N,,음료,0.7,rule,7,전남 목포시,1,비고유-카페음료,"우유 기반 가공 음료·양과자(도넛/푸딩/케익)로, 한국 고유 음식이 아님"
순수 우유케익|우유,순수 우유케익,순수 우유케익,우유,0,N,N,,음료,0.7,rule,7,전남 여수시,1,비고유-카페음료,"우유 기반 가공 음료·양과자(도넛/푸딩/케익)로, 한국 고유 음식이 아님"
쑥라떼|쑥,쑥라떼 등,쑥라떼,쑥,0,N,N,채소,음료,0.7,rule,4,전남 영암군,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
쑥쑥크림라떼 / 아인슈페너|쑥,쑥쑥크림라떼 / 아인슈페너,쑥쑥크림라떼 / 아인슈페너,쑥,0,N,N,채소,음료,0.7,rule,4,광주 광산구,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
쑥우유|쑥,쑥우유 등,쑥우유,쑥,0,N,N,채소,음료,0.7,rule,4,전남 진도군,1,비고유-카페음료,"우유 기반 가공 음료·양과자(도넛/푸딩/케익)로, 한국 고유 음식이 아님"
쑥우유|우유,쑥우유 등,쑥우유,우유,0,N,N,채소,음료,0.7,rule,7,전남 진도군,1,비고유-카페음료,"우유 기반 가공 음료·양과자(도넛/푸딩/케익)로, 한국 고유 음식이 아님"
오디에이드|오디,오디에이드,오디에이드,오디,0,N,N,채소,음료,0.7,rule,6,광주 북구,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
오렌지한라봉에이드|한라봉,오렌지한라봉에이드,오렌지한라봉에이드,한라봉,0,N,N,채소,음료,0.7,rule,1,전남 장성군,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
우유생크림 도넛|우유,우유생크림 도넛,우유생크림 도넛,우유,0,N,N,,음료,0.7,rule,7,전남 여수시,1,비고유-카페음료,"우유 기반 가공 음료·양과자(도넛/푸딩/케익)로, 한국 고유 음식이 아님"
우유푸딩|우유,우유푸딩,우유푸딩,우유,0,N,N,,음료,0.7,rule,7,전남 여수시,1,비고유-카페음료,"우유 기반 가공 음료·양과자(도넛/푸딩/케익)로, 한국 고유 음식이 아님"
월계딸기라떼|딸기,월계딸기라떼 등,월계딸기라떼,딸기,0,N,N,채소,음료,0.7,rule,2,전남 담양군,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
자두 베리 모히또|자두,자두 베리 모히또 등,자두 베리 모히또,자두,0,N,N,채소,음료,0.7,rule,9,전남 목포시,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
장성사과에이드|사과,장성사과에이드 등,장성사과에이드,사과,0,N,N,채소,음료,0.85,rule,10,전남 장성군,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
제주쑥라떼|쑥,제주쑥라떼,제주쑥라떼,쑥,0,N,N,채소,음료,0.7,rule,4,광주 광산구,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
진짜딸기우유|딸기,진짜딸기우유,진짜딸기우유,딸기,0,N,N,채소,음료,0.7,rule,2,전남 담양군,1,비고유-카페음료,"우유 기반 가공 음료·양과자(도넛/푸딩/케익)로, 한국 고유 음식이 아님"
진짜딸기우유|우유,진짜딸기우유,진짜딸기우유,우유,0,N,N,채소,음료,0.7,rule,7,전남 담양군,1,비고유-카페음료,"우유 기반 가공 음료·양과자(도넛/푸딩/케익)로, 한국 고유 음식이 아님"
청사과 레몬머틀티|사과,청사과 레몬머틀티,청사과 레몬머틀티,사과,0,N,N,채소,음료,0.7,rule,10,전남 나주시,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
청사과 에이드|사과,청사과 에이드,청사과 에이드,사과,0,N,N,채소,음료,0.7,rule,10,전남 나주시,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
청포도에이드|포도,청포도에이드,청포도에이드,포도,0,N,N,채소,음료,0.7,rule,8;9,전남 곡성군,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
청포도에이드|포도에이드,청포도에이드,청포도에이드,포도에이드,0,N,N,채소,음료,0.7,rule,8,전남 곡성군,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
초당옥수수커피|수수,초당옥수수커피,초당옥수수커피,수수,0,N,N,채소,음료,0.7,rule,5;9,전남 순천시,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
초당옥수수커피|옥수수,초당옥수수커피,초당옥수수커피,옥수수,0,N,N,채소,음료,0.7,rule,7,전남 순천시,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
칠링스 팥 스무디|팥,칠링스 팥 스무디,칠링스 팥 스무디,팥,0,N,N,채소,음료,0.7,rule,12,전남 담양군,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
"크림라떼, 복숭아꽃아이스티|복숭아","크림라떼, 복숭아꽃아이스티","크림라떼, 복숭아꽃아이스티",복숭아,0,N,N,채소,음료,0.7,rule,7;8,전남 화순군,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
토란우유푸딩|우유,토란우유푸딩 등,토란우유푸딩,우유,0,N,N,채소,음료,0.7,rule,7,전남 곡성군,1,비고유-카페음료,"우유 기반 가공 음료·양과자(도넛/푸딩/케익)로, 한국 고유 음식이 아님"
토마토바질에이드|토마토,토마토바질에이드 등,토마토바질에이드,토마토,0,N,N,채소,음료,0.7,rule,5,전남 강진군,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
판다 보틀 딸기라떼|딸기,판다 보틀 딸기라떼,판다 보틀 딸기라떼,딸기,0,N,N,채소,음료,0.7,rule,2,전남 담양군,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
한라봉에이드|한라봉,한라봉에이드 등,한라봉에이드,한라봉,0,N,N,채소,음료,0.7,rule,1,전남 담양군,1,비고유-카페음료,"라떼/에이드/스무디/커피 등 외래 카페 음료로, 한국 고유 음식·전통 음료에 해당하지 않음"
추가메뉴|소고기,추가메뉴(소고기샤브,추가메뉴,소고기,0,Y,N,육류,식사,0.85,manual,9,광주 서구,1,파싱오류,"원본 '추가메뉴(소고기샤브, 칼국수, 볶음밥, 공기밥) 등'이 쉼표에서 잘린 조각. '추가메뉴'는 곁들임 목록의 머리말이지 메뉴명이 아니며, 해당 식당(광주 서구 등촌)의 실제 메뉴는 '버섯 매운탕 샤브세트'로 제철 재료 매칭 대상이 아님"
